1000 2537 
248 102 5858 
248 464 9125 
18 627 8702 
18 995 7592 
18 845 8307 
18 526 5724 
18 634 2617 
802 139 6381 
802 414 9784 
802 469 7647 
802 981 8796 
802 529 6 
364 273 2170 
364 732 9318 
364 276 2573 
364 296 7535 
364 918 5030 
364 670 2531 
364 615 4583 
364 162 3112 
530 315 6107 
530 376 8053 
530 445 8058 
530 598 9590 
530 700 1329 
102 97 3974 
102 883 5496 
102 51 7487 
102 827 2955 
102 840 1122 
102 393 6358 
102 108 7778 
102 120 1494 
553 564 3205 
553 660 9166 
553 974 5 
553 327 -56 
553 916 4222 
553 7 3328 
860 105 7142 
860 398 3492 
860 953 3569 
860 841 8527 
386 332 6682 
386 558 2135 
386 841 7820 
524 231 1125 
524 67 6732 
524 837 1479 
524 472 6168 
163 540 6752 
163 3 3573 
163 660 8670 
163 904 4996 
421 9 7302 
421 709 6301 
421 769 3038 
421 143 2089 
315 942 1264 
315 32 5676 
315 707 7990 
315 467 3269 
538 85 1496 
538 893 4052 
538 940 6479 
72 106 7838 
72 681 3676 
72 947 9463 
540 276 3513 
540 962 852 
540 119 5468 
540 620 2111 
540 882 5017 
540 755 3473 
97 603 3972 
97 77 1639 
97 979 7559 
97 638 6779 
97 133 2041 
443 52 5246 
443 327 7727 
105 261 6701 
105 223 507 
105 908 1733 
105 147 1878 
105 171 8710 
105 910 7644 
483 934 3047 
483 218 6210 
80 200 6311 
80 729 82 
80 258 3515 
80 818 1934 
80 954 5265 
80 969 1493 
80 775 9235 
139 607 9902 
139 784 5791 
139 319 9157 
139 753 9597 
139 792 1162 
139 790 4401 
376 182 8337 
376 814 2794 
376 130 2519 
376 848 340 
376 316 4795 
273 958 6019 
273 63 2669 
273 555 -82 
273 280 2482 
273 682 9282 
273 240 4999 
317 377 3218 
317 500 2825 
317 266 1641 
50 833 5851 
50 221 513 
50 960 2403 
50 993 3180 
50 350 7058 
25 124 8671 
25 459 4770 
25 924 6863 
25 428 8463 
25 551 2389 
41 878 6349 
41 392 425 
41 787 488 
182 284 5704 
182 797 8537 
182 137 7335 
182 783 9048 
182 301 6023 
84 568 4836 
84 692 4173 
84 194 4730 
84 900 3198 
84 839 2710 
84 687 2418 
732 658 2628 
732 34 4145 
732 167 3403 
732 495 9306 
732 164 4957 
285 321 4292 
285 28 6573 
285 441 8338 
285 420 6365 
285 112 7626 
830 320 9394 
830 834 516 
830 494 2842 
830 340 2612 
56 145 3362 
56 840 8621 
56 963 474 
482 442 3084 
482 135 4634 
482 604 3875 
482 478 3007 
482 197 4814 
482 98 6844 
378 270 6964 
378 27 5244 
378 58 9177 
378 686 4356 
198 579 8255 
198 684 5382 
198 79 8518 
198 498 9464 
198 970 3292 
866 552 9681 
866 922 7422 
866 722 5624 
866 652 3327 
866 170 5351 
866 205 9213 
866 158 3369 
866 505 6278 
866 239 2787 
183 292 2739 
183 417 5101 
183 725 5371 
183 772 6141 
231 829 2707 
231 468 6928 
231 765 5635 
231 710 8999 
658 518 1892 
658 573 7555 
658 924 6087 
658 598 1590 
414 160 9465 
414 777 1995 
414 158 369 
124 934 1211 
124 3 5321 
124 207 6429 
510 439 9494 
510 206 2023 
510 123 3594 
510 234 835 
829 856 5912 
671 818 7926 
671 232 5153 
671 149 4800 
284 130 5807 
284 314 6973 
284 302 4479 
564 117 6158 
215 272 7282 
215 402 2730 
215 195 6549 
215 698 1945 
726 819 1031 
726 206 7456 
726 35 530 
726 929 1402 
726 820 3680 
913 276 6212 
913 492 6287 
913 205 9689 
913 807 9027 
913 868 2977 
230 637 10 
230 109 5845 
579 159 2942 
579 791 7918 
579 703 2242 
579 247 8268 
579 655 7392 
579 643 4249 
579 288 1941 
797 324 3308 
797 629 3902 
797 8 4822 
797 82 6207 
797 308 635 
410 312 6141 
410 251 37 
46 744 2856 
46 857 53 
179 469 3417 
179 801 484 
906 184 9943 
906 406 83 
906 401 2212 
200 196 1398 
200 265 824 
200 114 2249 
200 463 4149 
200 928 2083 
200 971 2227 
468 803 6518 
468 806 9449 
468 340 3685 
468 10 7153 
468 260 374 
468 47 1684 
833 226 818 
833 728 1906 
765 651 6573 
765 446 5374 
765 741 264 
765 683 660 
765 559 7398 
270 480 6175 
270 666 140 
270 839 2976 
276 626 -65 
276 559 7907 
276 333 4667 
144 57 931 
144 265 4292 
144 177 6396 
144 109 9785 
144 839 9699 
144 14 8736 
369 528 9923 
369 429 466 
369 602 7807 
369 713 8208 
369 519 1082 
369 31 8496 
369 989 1110 
369 761 8433 
352 481 6494 
352 622 523 
352 788 6765 
352 180 2181 
568 74 3994 
568 673 6893 
568 814 1207 
568 556 1682 
568 757 2580 
568 566 9331 
81 756 5623 
81 715 724 
81 100 5631 
57 283 6373 
57 439 259 
57 64 5665 
57 167 7314 
57 219 840 
324 435 8916 
823 51 -57 
823 323 3633 
823 742 1272 
637 321 4530 
9 982 7926 
9 601 2443 
9 313 3883 
9 238 3173 
9 232 2467 
883 966 296 
883 670 6162 
883 347 4868 
819 489 128 
819 824 7786 
819 526 333 
67 926 1321 
67 614 8202 
67 606 311 
740 339 2241 
740 318 4349 
740 96 1532 
740 250 -42 
577 52 9490 
577 523 9703 
137 403 9562 
137 982 6042 
137 229 2518 
85 798 212 
85 435 6056 
23 178 9239 
552 271 5878 
552 693 1535 
552 678 4579 
744 34 5101 
744 244 951 
292 900 2902 
278 625 8182 
278 795 6397 
278 694 7686 
489 798 4663 
489 191 1000 
489 297 5396 
489 412 5578 
926 33 1161 
926 565 8900 
926 947 4080 
587 706 3715 
587 575 4199 
587 202 2317 
587 384 211 
159 761 4232 
221 617 975 
221 241 6898 
221 656 4194 
535 375 55 
535 295 9681 
535 780 3343 
535 971 5247 
535 521 9426 
535 549 523 
403 952 4066 
403 194 6563 
403 419 9228 
403 115 4754 
268 217 8212 
268 730 8372 
268 135 1015 
268 550 5862 
268 835 203 
268 466 603 
603 275 2265 
603 86 8185 
603 951 416 
294 981 7870 
294 486 4862 
294 434 5137 
217 695 6303 
217 117 5770 
217 472 2993 
217 408 376 
217 963 3037 
869 323 2234 
869 357 4940 
869 939 3002 
283 310 540 
283 912 7561 
283 358 8068 
729 402 6282 
729 210 4919 
469 118 5729 
469 662 829 
469 500 5678 
469 772 7779 
695 690 5777 
695 438 6793 
695 517 9249 
695 384 5808 
695 235 8154 
459 37 3731 
459 556 6085 
459 366 8739 
459 71 9356 
459 895 5138 
459 431 5076 
532 793 7293 
196 221 7192 
196 374 6173 
196 479 8678 
196 527 3232 
716 311 496 
716 98 3324 
934 776 8220 
934 612 5426 
258 898 5161 
258 233 2353 
258 336 8281 
258 976 4217 
508 211 3786 
508 884 9340 
617 153 2221 
617 99 6482 
617 155 7879 
756 704 5485 
756 167 9929 
756 923 8342 
756 211 3551 
914 614 2047 
914 996 8713 
914 917 4961 
914 383 534 
692 608 2965 
692 664 6234 
692 111 9780 
630 746 6661 
630 837 7656 
630 251 2954 
630 64 6911 
630 17 2188 
630 928 -3 
824 173 6254 
824 968 7411 
824 621 2120 
824 387 2999 
824 854 8113 
374 186 1259 
374 843 6785 
374 986 1694 
581 913 9085 
581 515 7435 
581 633 3950 
581 768 5917 
581 1 6057 
581 225 3590 
52 667 8293 
52 810 2622 
52 62 4300 
52 156 4229 
818 489 6706 
818 117 235 
818 759 7786 
445 576 9252 
445 714 9758 
445 957 8479 
445 430 8835 
962 796 9505 
962 277 4828 
962 337 6617 
375 452 1800 
375 187 1596 
791 51 2097 
791 920 5539 
890 580 1678 
890 648 1873 
890 174 5973 
890 438 7555 
37 110 1667 
37 101 2092 
37 722 5489 
37 180 3247 
37 205 9927 
51 355 5962 
51 711 8977 
950 932 7308 
950 0 4158 
507 250 4538 
507 126 1425 
507 537 7323 
515 871 7611 
515 122 9811 
480 129 6262 
480 922 4363 
480 257 9400 
480 556 4992 
480 663 1097 
160 760 4403 
160 36 5105 
160 826 4999 
160 436 375 
89 65 7461 
89 651 1859 
89 117 6219 
89 453 4959 
893 777 9711 
893 371 6119 
893 677 8013 
893 992 2666 
932 520 211 
932 576 8212 
760 254 3223 
760 555 7689 
760 737 5950 
760 634 9411 
312 72 6509 
312 422 3421 
312 990 8728 
261 296 8040 
261 440 4409 
320 954 986 
320 592 647 
320 463 8269 
320 996 3408 
320 654 1548 
119 129 4521 
119 6 4179 
119 615 4854 
528 671 6496 
528 948 4361 
528 887 7057 
429 396 5535 
429 394 2706 
862 959 2343 
580 461 493 
580 359 9556 
580 948 22 
580 653 9071 
580 631 2174 
4 370 4372 
878 968 1257 
878 313 3280 
878 638 915 
343 968 7583 
343 831 377 
343 826 639 
343 368 5381 
343 892 5022 
442 63 693 
442 380 943 
442 142 5489 
607 256 68 
607 949 5652 
607 209 6123 
281 284 9008 
281 648 437 
281 87 7258 
281 484 4233 
281 702 8605 
281 876 3091 
256 883 5800 
256 27 6916 
256 821 3963 
256 490 5452 
256 366 6202 
457 218 1929 
295 222 9009 
295 501 9629 
295 967 6228 
3 591 8206 
3 471 2452 
3 201 3806 
3 100 6824 
648 548 9985 
648 641 7914 
648 155 5712 
715 661 9303 
715 341 5750 
798 605 4205 
798 525 1307 
798 852 6561 
798 523 4346 
703 491 5411 
703 928 421 
703 855 8177 
74 65 5450 
958 70 4526 
958 396 84 
560 511 4496 
560 558 5956 
560 249 6139 
746 663 7268 
746 286 9191 
602 103 720 
602 599 4010 
602 425 4150 
602 810 1243 
602 947 2858 
153 476 6706 
153 659 24 
153 127 2100 
941 61 78 
941 935 4528 
941 363 8197 
690 796 9329 
63 212 3431 
63 274 56 
461 472 7126 
461 154 0 
461 571 1436 
296 78 225 
827 815 8366 
827 780 7107 
827 327 4905 
777 589 5581 
777 554 6109 
777 529 8988 
452 736 1950 
452 606 744 
476 604 6673 
184 321 8182 
129 267 7549 
129 381 434 
129 214 9062 
129 845 1087 
129 705 7650 
481 584 1382 
803 574 6492 
65 927 -73 
118 290 5993 
118 998 6739 
118 245 7272 
118 887 1864 
173 27 8106 
173 465 2498 
173 645 8926 
684 121 7436 
684 743 1339 
684 493 1763 
806 940 770 
806 61 2057 
806 318 1454 
806 895 1658 
548 617 4993 
548 844 4754 
548 39 5799 
927 572 9349 
927 680 6740 
927 473 3052 
784 707 5350 
784 143 6775 
784 244 5439 
275 954 2224 
275 300 4744 
275 537 5771 
275 774 8837 
491 93 9337 
491 472 1443 
491 909 420 
70 28 2000 
86 734 4765 
837 723 4619 
837 891 5600 
837 864 8622 
837 238 9136 
837 394 5343 
837 120 -89 
310 781 4322 
310 436 2977 
844 771 2210 
844 710 4476 
844 978 2950 
844 687 2968 
110 857 1167 
110 996 2891 
110 930 8063 
944 1 5911 
944 176 5865 
944 854 5971 
673 135 8033 
673 266 2240 
254 138 1781 
254 720 5574 
254 915 1051 
254 770 9799 
254 836 5694 
622 508 8925 
622 385 2611 
622 1 948 
622 704 9328 
622 43 8966 
622 641 777 
622 813 9543 
520 972 7628 
520 408 4598 
186 590 625 
186 265 9979 
186 83 7503 
186 59 6855 
186 447 677 
633 477 2782 
633 534 7205 
633 199 899 
27 582 2287 
27 351 99 
101 280 9139 
101 856 8662 
145 41 8873 
145 889 3095 
145 158 6168 
34 974 5591 
267 954 4961 
267 514 3155 
267 743 2939 
321 634 8642 
629 977 4643 
629 503 8812 
138 848 4269 
138 727 7935 
972 293 3655 
972 55 1304 
972 71 5349 
972 533 4522 
730 312 6523 
730 993 242 
730 306 3281 
135 749 7454 
135 236 9398 
135 976 8845 
135 178 -94 
627 712 3998 
627 412 5370 
627 618 313 
651 192 2500 
651 59 7369 
651 714 2234 
651 82 881 
982 256 9939 
982 908 1274 
982 353 3705 
555 305 2741 
555 585 2759 
355 599 1128 
355 805 6736 
355 682 2698 
355 100 8243 
981 406 2879 
518 649 8938 
518 303 930 
518 779 988 
518 40 -73 
922 325 9741 
922 291 4018 
952 418 1932 
604 141 9090 
385 965 5978 
385 675 -64 
385 897 7407 
385 308 4045 
814 355 106 
814 253 8025 
814 199 4456 
91 103 176 
91 679 4744 
91 794 1191 
91 361 925 
605 370 7824 
605 758 7036 
605 382 8092 
605 739 5728 
660 747 3868 
660 437 7399 
589 152 4972 
589 821 4734 
590 598 4640 
590 796 9820 
398 869 3439 
398 713 3364 
398 976 4177 
6 468 -72 
6 518 6460 
6 557 5588 
6 309 434 
968 585 907 
446 148 9286 
446 407 4260 
117 566 6731 
525 94 6658 
525 991 8156 
525 757 6546 
525 838 7797 
525 88 4336 
874 339 7615 
874 247 9051 
874 817 9793 
874 497 7947 
79 226 7208 
79 750 9000 
79 162 2476 
79 916 5982 
649 130 128 
649 523 6288 
649 811 613 
649 696 8086 
722 681 99 
722 704 485 
722 886 3763 
771 465 7301 
771 768 2098 
954 229 675 
954 721 2411 
954 990 8695 
954 894 -80 
620 708 4192 
620 116 970 
293 596 5797 
293 405 2273 
293 5 4623 
319 956 418 
319 647 5521 
319 925 7890 
319 640 3328 
582 286 1043 
667 26 9679 
667 29 8436 
667 697 8293 
667 711 7158 
667 274 2444 
840 501 6822 
840 131 1062 
359 21 3992 
359 62 1295 
359 301 7574 
265 741 9175 
265 863 289 
597 245 3845 
597 411 9377 
597 533 1389 
370 197 3825 
370 799 9981 
370 957 4647 
498 761 2499 
498 379 6848 
498 838 8739 
174 26 3445 
174 514 6630 
174 146 9469 
477 655 31 
477 475 2882 
543 982 5855 
543 458 4344 
543 517 6461 
543 854 8175 
130 229 9874 
130 242 5398 
272 960 6803 
272 545 5002 
272 387 8581 
272 600 3535 
435 210 4477 
435 42 916 
435 688 1411 
592 885 8841 
592 810 1270 
93 686 6752 
93 38 9856 
32 822 6159 
32 569 2907 
723 343 2362 
723 591 9884 
723 946 6979 
326 504 2597 
326 697 5266 
713 193 5935 
713 122 9858 
662 241 2954 
662 62 937 
662 881 2431 
33 243 7391 
33 676 1428 
33 680 5355 
33 467 1185 
918 651 2396 
918 42 2995 
918 584 6542 
918 766 2815 
918 168 9743 
608 252 7459 
107 462 5997 
107 322 8423 
339 577 7351 
339 681 4992 
339 360 1504 
940 614 59 
940 516 3776 
439 172 5494 
439 717 1198 
439 963 9204 
381 147 2367 
381 383 334 
621 287 4578 
621 766 5103 
621 451 2866 
621 306 5690 
621 748 3432 
36 152 7836 
36 669 3890 
36 253 6755 
36 166 7452 
36 980 4422 
36 190 1618 
625 395 8675 
625 181 4273 
625 882 4327 
625 596 2902 
280 566 8802 
223 982 3229 
223 194 4256 
223 877 1983 
94 336 7401 
94 22 9294 
103 76 8827 
573 747 814 
573 728 -27 
106 427 9195 
106 100 4368 
948 593 9715 
948 701 6931 
891 322 5161 
891 68 6621 
891 54 8108 
891 219 8 
891 341 9370 
371 42 5538 
371 610 5453 
371 43 5756 
371 775 5746 
371 696 8300 
639 805 1274 
639 876 3352 
61 351 1694 
152 682 3224 
77 241 8377 
77 95 7096 
550 939 9256 
550 240 2090 
479 987 4943 
479 128 4574 
834 275 3833 
834 768 4206 
834 886 506 
834 216 5276 
834 689 6525 
392 303 7607 
392 936 6716 
511 569 5595 
511 725 2831 
511 349 9625 
472 456 5190 
472 373 1018 
472 409 3955 
472 574 9527 
486 423 1648 
835 957 2855 
924 906 5766 
924 688 6231 
924 879 915 
380 885 4476 
380 474 9494 
519 396 5337 
519 437 2827 
519 537 5775 
788 151 1298 
788 987 9502 
788 782 8683 
788 754 2656 
788 936 6245 
87 825 495 
87 885 3315 
87 858 4765 
121 439 6542 
121 484 6033 
180 926 252 
180 781 8621 
465 301 8191 
465 724 8174 
417 379 3225 
417 678 8149 
417 455 3530 
601 0 2570 
601 766 5276 
601 513 9952 
494 83 3548 
494 15 3080 
494 710 9502 
494 499 7954 
222 912 8410 
222 764 462 
222 685 6960 
191 466 7241 
768 402 8437 
768 967 6042 
825 236 9636 
821 425 2919 
821 748 2914 
965 166 6690 
956 995 3477 
956 978 772 
669 328 4046 
669 66 4742 
669 631 8153 
669 309 5437 
669 542 3506 
1 207 2962 
1 951 7333 
1 432 6681 
1 546 868 
576 644 8426 
576 736 329 
576 412 -38 
576 593 7832 
576 504 8376 
251 416 6907 
251 533 2302 
290 553 7881 
290 712 3354 
290 161 1433 
908 899 6495 
908 544 431 
908 873 -2 
908 773 5125 
253 485 1375 
318 645 9265 
318 688 5537 
570 49 1104 
848 904 2677 
848 488 8452 
871 155 7215 
871 701 4994 
871 127 5020 
243 795 3446 
591 937 7588 
591 384 2491 
64 584 5489 
64 901 9398 
64 750 505 
864 166 6493 
864 190 2400 
194 471 3211 
194 820 1809 
194 349 6442 
456 933 3076 
456 816 8018 
456 773 8751 
0 193 5152 
0 305 4573 
666 931 7653 
666 571 7585 
652 132 6675 
652 963 179 
652 365 2038 
652 725 4064 
652 30 605 
681 570 3366 
681 554 8112 
681 873 250 
297 858 7595 
297 642 6308 
297 30 4162 
402 141 5504 
402 594 349 
402 745 6828 
177 865 2505 
195 517 6038 
966 360 5947 
966 146 8407 
966 88 4094 
898 203 8325 
898 846 741 
478 2 6081 
478 409 375 
478 911 3979 
323 583 3095 
323 449 1207 
323 401 8225 
323 202 1657 
323 861 9181 
323 209 9230 
323 302 7586 
257 635 8876 
257 959 9130 
904 32 1863 
904 975 927 
904 249 1772 
233 516 6178 
462 872 375 
991 715 312 
991 434 7848 
991 677 9524 
991 635 2437 
322 286 5333 
583 531 4559 
583 444 1580 
583 250 1121 
583 329 8796 
583 586 3344 
406 434 1897 
406 21 5291 
406 999 6405 
547 116 3495 
287 620 5780 
287 978 6439 
979 330 4924 
979 853 1517 
979 816 7112 
712 842 2300 
712 920 9332 
712 892 4096 
781 697 6626 
781 539 4002 
28 858 3140 
28 661 6870 
28 855 7680 
28 612 8115 
31 185 708 
31 242 725 
843 677 1044 
843 187 6935 
210 409 8602 
42 446 429 
42 238 3430 
42 185 1742 
42 735 4495 
998 807 2348 
998 306 1527 
998 78 6402 
736 310 669 
736 957 9829 
531 175 8468 
490 201 7638 
664 45 4353 
664 162 9483 
664 585 985 
584 986 5001 
584 650 -48 
647 148 9543 
83 161 1488 
83 897 2890 
484 167 8235 
484 241 5450 
614 968 289 
614 556 8376 
614 575 5245 
614 53 4352 
157 377 6288 
157 787 8777 
157 420 8519 
157 888 6326 
161 330 7376 
161 988 3175 
161 983 7559 
313 230 2943 
313 670 2414 
313 938 1325 
313 709 3076 
610 679 2000 
610 337 5439 
670 225 1941 
453 994 3699 
453 963 9936 
26 111 9576 
26 900 4384 
815 394 6856 
362 960 4687 
362 868 9749 
362 563 2444 
172 169 8948 
172 741 2458 
977 207 4619 
977 13 4206 
29 425 4306 
29 636 6577 
29 682 5623 
29 905 8723 
377 200 5306 
377 259 9172 
377 413 5980 
747 723 3915 
747 55 823 
747 422 8368 
434 769 8876 
434 311 5718 
434 642 6289 
151 458 807 
151 600 1724 
151 867 9886 
247 553 4363 
247 970 5044 
247 282 6141 
247 98 8856 
780 592 5722 
780 404 5796 
780 171 6479 
780 782 3540 
780 613 2495 
336 466 867 
758 346 8355 
758 569 4795 
758 470 8499 
24 596 8400 
655 836 4181 
655 113 3328 
989 496 9143 
989 785 7818 
761 893 5601 
761 793 8322 
761 863 7550 
852 193 6936 
901 165 1632 
901 239 7226 
901 847 383 
901 910 -91 
995 103 2457 
995 915 8286 
995 90 2010 
995 389 9404 
416 907 5456 
645 641 -39 
645 870 2115 
449 116 7413 
404 575 -79 
938 964 9541 
938 235 5099 
441 11 331 
441 234 9769 
441 448 3240 
441 308 9835 
303 332 2917 
303 931 4791 
974 372 7191 
974 260 4593 
974 242 5460 
974 910 1269 
395 967 3796 
395 973 9901 
395 728 2308 
787 468 2381 
787 348 5363 
787 693 2300 
787 422 6150 
147 753 6383 
147 888 7332 
147 640 5624 
466 205 6727 
953 545 2286 
953 60 7777 
953 764 5511 
953 916 2092 
206 644 6531 
206 220 9229 
206 634 2643 
169 708 8143 
169 805 5731 
822 852 7238 
822 237 7318 
822 672 3324 
220 433 3431 
396 617 7646 
396 348 4541 
396 653 5344 
188 277 3707 
188 288 5847 
353 476 8083 
353 492 56 
353 158 8576 
353 687 2366 
987 656 9229 
599 255 5863 
599 679 7371 
599 526 4834 
766 624 3624 
766 464 5902 
766 48 7535 
960 588 7246 
556 201 9555 
123 947 3367 
123 701 8600 
795 734 9601 
795 801 7944 
170 106 1271 
170 49 8952 
170 675 2228 
170 546 8718 
170 39 2667 
899 865 9958 
899 612 7785 
899 190 9108 
842 71 5962 
842 566 4383 
128 564 6993 
128 859 1569 
128 863 9452 
885 53 8329 
885 721 8906 
598 807 7404 
598 298 8703 
704 165 8607 
704 846 1044 
165 60 -14 
165 379 7463 
165 38 995 
141 779 2605 
141 701 9741 
300 414 171 
300 485 3882 
300 846 5878 
858 611 7402 
858 907 2472 
858 240 4033 
492 805 1572 
492 657 5470 
492 687 601 
425 789 7887 
425 751 9837 
43 454 3966 
43 884 741 
132 252 1301 
132 368 6181 
132 828 8536 
181 650 7672 
193 364 4279 
193 778 2813 
925 228 1285 
925 656 873 
925 585 5001 
330 700 4210 
330 44 5463 
330 881 6418 
167 924 5320 
167 13 5993 
167 82 7323 
167 127 7807 
428 37 6157 
428 509 5017 
428 700 1249 
428 877 99 
428 646 2851 
428 676 1488 
557 105 4419 
557 569 7798 
865 845 9978 
142 444 152 
142 759 3249 
35 16 66 
35 427 4191 
35 663 9740 
35 856 4146 
245 188 6000 
245 701 4154 
245 687 3453 
171 710 5862 
171 993 2687 
171 485 2579 
720 235 2687 
332 960 8832 
332 391 6195 
332 685 9381 
197 246 1772 
412 228 1245 
412 999 8839 
412 361 6037 
176 279 7696 
176 120 3568 
68 641 3094 
68 249 3590 
437 504 3333 
437 487 1252 
831 809 9356 
305 344 3330 
305 254 4295 
305 241 1844 
252 246 3584 
252 448 6681 
252 839 8950 
114 475 -80 
114 752 875 
96 178 560 
96 884 2436 
474 144 2710 
474 886 5418 
474 388 1883 
558 762 5373 
558 628 8504 
229 702 4889 
709 969 268 
709 493 9524 
826 640 8484 
826 949 1067 
923 397 1450 
923 263 -83 
166 582 3962 
166 332 9174 
166 615 9493 
166 789 3988 
246 975 4015 
606 668 1554 
606 631 5030 
606 436 1640 
594 874 6828 
594 903 442 
594 288 9889 
594 828 -81 
594 910 7181 
471 710 7426 
348 761 3217 
348 75 6801 
348 551 2007 
348 299 932 
565 530 3823 
565 745 4697 
565 240 9119 
111 74 6877 
111 575 2338 
111 799 -12 
111 691 4246 
111 282 2727 
408 717 4254 
593 652 353 
593 113 5855 
641 738 7175 
641 895 4873 
988 764 194 
411 279 6003 
420 867 1513 
783 338 1704 
783 351 8316 
783 250 26 
783 785 1711 
779 62 5368 
779 782 4693 
611 256 4807 
611 851 3996 
21 763 5988 
21 562 4487 
21 5 3773 
567 59 294 
567 809 9598 
567 512 619 
11 815 -58 
11 572 3920 
11 394 3262 
11 126 2142 
11 399 5185 
241 624 9055 
241 400 2482 
241 672 743 
749 595 3504 
749 686 8490 
749 506 4714 
259 131 9350 
259 702 8682 
741 763 2346 
912 340 5476 
912 896 6262 
912 388 6193 
708 78 9881 
451 334 9906 
451 400 6511 
451 422 7116 
357 882 9362 
624 306 4666 
624 719 1280 
753 369 2957 
753 973 7273 
753 707 6350 
8 527 8141 
8 298 1577 
340 553 7141 
340 335 9734 
340 628 1589 
340 433 9031 
401 984 8502 
401 769 9373 
401 325 5085 
15 829 2005 
15 419 6519 
907 475 3736 
366 208 8778 
757 354 7385 
154 212 994 
438 391 9384 
438 503 2662 
438 997 6322 
984 612 1163 
444 566 562 
903 16 2821 
523 225 3370 
523 264 664 
501 518 5090 
501 718 7251 
269 523 6086 
269 189 7777 
269 986 4820 
2 807 4008 
351 214 2391 
351 126 5339 
122 394 8669 
122 499 1703 
122 911 9339 
458 543 4717 
458 900 5873 
458 40 9932 
653 31 2516 
653 946 5738 
653 861 8570 
653 785 2501 
271 279 5724 
464 183 6950 
464 918 9255 
464 699 403 
464 688 3822 
346 964 7132 
683 940 3993 
683 404 7582 
683 391 9514 
810 715 4814 
810 297 4575 
810 334 2362 
545 799 9198 
545 400 4222 
527 615 3871 
527 226 5467 
527 750 6312 
55 660 1084 
55 228 4472 
575 212 5588 
575 623 7816 
225 967 3480 
225 45 2514 
95 316 2898 
95 306 934 
95 533 7587 
